filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
100.png,1786887,"{}",5,0,"{""name"":""rect"",""x"":85,""y"":708,""width"":367,""height"":465}","{}"
100.png,1786887,"{}",5,1,"{""name"":""rect"",""x"":318,""y"":850,""width"":367,""height"":437}","{}"
100.png,1786887,"{}",5,2,"{""name"":""rect"",""x"":473,""y"":1338,""width"":398,""height"":437}","{}"
100.png,1786887,"{}",5,3,"{""name"":""rect"",""x"":1826,""y"":945,""width"":385,""height"":444}","{}"
100.png,1786887,"{}",5,4,"{""name"":""rect"",""x"":2472,""y"":984,""width"":390,""height"":462}","{}"
101.png,1908391,"{}",7,0,"{""name"":""rect"",""x"":491,""y"":594,""width"":364,""height"":452}","{}"
101.png,1908391,"{}",7,1,"{""name"":""rect"",""x"":860,""y"":852,""width"":385,""height"":437}","{}"
101.png,1908391,"{}",7,2,"{""name"":""rect"",""x"":387,""y"":1338,""width"":364,""height"":431}","{}"
101.png,1908391,"{}",7,3,"{""name"":""rect"",""x"":220,""y"":1483,""width"":390,""height"":315}","{}"
101.png,1908391,"{}",7,4,"{""name"":""rect"",""x"":269,""y"":243,""width"":403,""height"":217}","{}"
101.png,1908391,"{}",7,5,"{""name"":""rect"",""x"":1831,""y"":238,""width"":387,""height"":377}","{}"
101.png,1908391,"{}",7,6,"{""name"":""rect"",""x"":2454,""y"":253,""width"":406,""height"":434}","{}"
102.png,2525467,"{}",3,0,"{""name"":""rect"",""x"":96,""y"":974,""width"":380,""height"":439}","{}"
102.png,2525467,"{}",3,1,"{""name"":""rect"",""x"":318,""y"":1356,""width"":480,""height"":408}","{}"
102.png,2525467,"{}",3,2,"{""name"":""rect"",""x"":1049,""y"":1183,""width"":385,""height"":455}","{}"
103.png,2939195,"{}",6,0,"{""name"":""rect"",""x"":80,""y"":429,""width"":393,""height"":475}","{}"
103.png,2939195,"{}",6,1,"{""name"":""rect"",""x"":1041,""y"":749,""width"":387,""height"":449}","{}"
103.png,2939195,"{}",6,2,"{""name"":""rect"",""x"":852,""y"":1273,""width"":390,""height"":439}","{}"
103.png,2939195,"{}",6,3,"{""name"":""rect"",""x"":413,""y"":1348,""width"":367,""height"":431}","{}"
103.png,2939195,"{}",6,4,"{""name"":""rect"",""x"":1955,""y"":1064,""width"":395,""height"":460}","{}"
103.png,2939195,"{}",6,5,"{""name"":""rect"",""x"":2327,""y"":920,""width"":380,""height"":462}","{}"
104.png,3463506,"{}",3,0,"{""name"":""rect"",""x"":586,""y"":788,""width"":385,""height"":449}","{}"
104.png,3463506,"{}",3,1,"{""name"":""rect"",""x"":258,""y"":808,""width"":393,""height"":439}","{}"
104.png,3463506,"{}",3,2,"{""name"":""rect"",""x"":886,""y"":1663,""width"":349,""height"":132}","{}"
105.png,3828612,"{}",6,0,"{""name"":""rect"",""x"":622,""y"":870,""width"":387,""height"":460}","{}"
105.png,3828612,"{}",6,1,"{""name"":""rect"",""x"":966,""y"":1098,""width"":377,""height"":439}","{}"
105.png,3828612,"{}",6,2,"{""name"":""rect"",""x"":1361,""y"":987,""width"":393,""height"":452}","{}"
105.png,3828612,"{}",6,3,"{""name"":""rect"",""x"":1591,""y"":847,""width"":385,""height"":452}","{}"
105.png,3828612,"{}",6,4,"{""name"":""rect"",""x"":2392,""y"":300,""width"":380,""height"":496}","{}"
105.png,3828612,"{}",6,5,"{""name"":""rect"",""x"":1400,""y"":240,""width"":457,""height"":305}","{}"
106.png,3716353,"{}",3,0,"{""name"":""rect"",""x"":119,""y"":899,""width"":406,""height"":449}","{}"
106.png,3716353,"{}",3,1,"{""name"":""rect"",""x"":971,""y"":1485,""width"":362,""height"":302}","{}"
106.png,3716353,"{}",3,2,"{""name"":""rect"",""x"":1963,""y"":1258,""width"":377,""height"":465}","{}"
107.png,3892752,"{}",11,0,"{""name"":""rect"",""x"":449,""y"":310,""width"":478,""height"":434}","{}"
107.png,3892752,"{}",11,1,"{""name"":""rect"",""x"":83,""y"":530,""width"":395,""height"":452}","{}"
107.png,3892752,"{}",11,2,"{""name"":""rect"",""x"":524,""y"":576,""width"":418,""height"":468}","{}"
107.png,3892752,"{}",11,3,"{""name"":""rect"",""x"":966,""y"":245,""width"":398,""height"":333}","{}"
107.png,3892752,"{}",11,4,"{""name"":""rect"",""x"":956,""y"":772,""width"":385,""height"":437}","{}"
107.png,3892752,"{}",11,5,"{""name"":""rect"",""x"":643,""y"":1364,""width"":385,""height"":434}","{}"
107.png,3892752,"{}",11,6,"{""name"":""rect"",""x"":1353,""y"":899,""width"":444,""height"":403}","{}"
107.png,3892752,"{}",11,7,"{""name"":""rect"",""x"":1710,""y"":842,""width"":362,""height"":452}","{}"
107.png,3892752,"{}",11,8,"{""name"":""rect"",""x"":2072,""y"":313,""width"":382,""height"":457}","{}"
107.png,3892752,"{}",11,9,"{""name"":""rect"",""x"":2126,""y"":1260,""width"":390,""height"":442}","{}"
107.png,3892752,"{}",11,10,"{""name"":""rect"",""x"":1715,""y"":1663,""width"":390,""height"":134}","{}"
108.png,3902263,"{}",8,0,"{""name"":""rect"",""x"":630,""y"":682,""width"":406,""height"":465}","{}"
108.png,3902263,"{}",8,1,"{""name"":""rect"",""x"":1415,""y"":493,""width"":398,""height"":460}","{}"
108.png,3902263,"{}",8,2,"{""name"":""rect"",""x"":1330,""y"":989,""width"":395,""height"":444}","{}"
108.png,3902263,"{}",8,3,"{""name"":""rect"",""x"":1738,""y"":1005,""width"":364,""height"":439}","{}"
108.png,3902263,"{}",8,4,"{""name"":""rect"",""x"":1994,""y"":1532,""width"":385,""height"":263}","{}"
108.png,3902263,"{}",8,5,"{""name"":""rect"",""x"":2123,""y"":248,""width"":390,""height"":393}","{}"
108.png,3902263,"{}",8,6,"{""name"":""rect"",""x"":1328,""y"":245,""width"":488,""height"":302}","{}"
108.png,3902263,"{}",8,7,"{""name"":""rect"",""x"":1710,""y"":253,""width"":385,""height"":380}","{}"
109.png,3846483,"{}",3,0,"{""name"":""rect"",""x"":403,""y"":896,""width"":380,""height"":449}","{}"
109.png,3846483,"{}",3,1,"{""name"":""rect"",""x"":842,""y"":1617,""width"":411,""height"":178}","{}"
109.png,3846483,"{}",3,2,"{""name"":""rect"",""x"":1653,""y"":1173,""width"":382,""height"":421}","{}"
110.png,4073096,"{}",4,0,"{""name"":""rect"",""x"":1242,""y"":1121,""width"":385,""height"":444}","{}"
110.png,4073096,"{}",4,1,"{""name"":""rect"",""x"":1581,""y"":1477,""width"":351,""height"":313}","{}"
110.png,4073096,"{}",4,2,"{""name"":""rect"",""x"":790,""y"":1289,""width"":380,""height"":444}","{}"
110.png,4073096,"{}",4,3,"{""name"":""rect"",""x"":517,""y"":1294,""width"":377,""height"":452}","{}"
111.png,4040371,"{}",5,0,"{""name"":""rect"",""x"":504,""y"":803,""width"":387,""height"":447}","{}"
111.png,4040371,"{}",5,1,"{""name"":""rect"",""x"":808,""y"":850,""width"":377,""height"":447}","{}"
111.png,4040371,"{}",5,2,"{""name"":""rect"",""x"":465,""y"":1454,""width"":380,""height"":336}","{}"
111.png,4040371,"{}",5,3,"{""name"":""rect"",""x"":1219,""y"":664,""width"":406,""height"":462}","{}"
111.png,4040371,"{}",5,4,"{""name"":""rect"",""x"":1545,""y"":1111,""width"":398,""height"":447}","{}"
112.png,4156218,"{}",5,0,"{""name"":""rect"",""x"":473,""y"":793,""width"":375,""height"":455}","{}"
112.png,4156218,"{}",5,1,"{""name"":""rect"",""x"":1552,""y"":540,""width"":387,""height"":439}","{}"
112.png,4156218,"{}",5,2,"{""name"":""rect"",""x"":1555,""y"":1356,""width"":475,""height"":400}","{}"
112.png,4156218,"{}",5,3,"{""name"":""rect"",""x"":1824,""y"":1250,""width"":493,""height"":413}","{}"
112.png,4156218,"{}",5,4,"{""name"":""rect"",""x"":478,""y"":1498,""width"":382,""height"":302}","{}"
113.png,3779539,"{}",5,0,"{""name"":""rect"",""x"":1211,""y"":615,""width"":382,""height"":449}","{}"
113.png,3779539,"{}",5,1,"{""name"":""rect"",""x"":2281,""y"":839,""width"":486,""height"":439}","{}"
113.png,3779539,"{}",5,2,"{""name"":""rect"",""x"":2123,""y"":1410,""width"":398,""height"":377}","{}"
113.png,3779539,"{}",5,3,"{""name"":""rect"",""x"":416,""y"":1457,""width"":359,""height"":338}","{}"
113.png,3779539,"{}",5,4,"{""name"":""rect"",""x"":114,""y"":1521,""width"":400,""height"":279}","{}"
114.png,2284944,"{}",6,0,"{""name"":""rect"",""x"":630,""y"":509,""width"":393,""height"":449}","{}"
114.png,2284944,"{}",6,1,"{""name"":""rect"",""x"":227,""y"":845,""width"":400,""height"":462}","{}"
114.png,2284944,"{}",6,2,"{""name"":""rect"",""x"":18,""y"":896,""width"":400,""height"":465}","{}"
114.png,2284944,"{}",6,3,"{""name"":""rect"",""x"":860,""y"":989,""width"":395,""height"":431}","{}"
114.png,2284944,"{}",6,4,"{""name"":""rect"",""x"":821,""y"":1516,""width"":380,""height"":279}","{}"
114.png,2284944,"{}",6,5,"{""name"":""rect"",""x"":1459,""y"":734,""width"":486,""height"":426}","{}"
115.png,2596097,"{}",8,0,"{""name"":""rect"",""x"":612,""y"":168,""width"":406,""height"":439}","{}"
115.png,2596097,"{}",8,1,"{""name"":""rect"",""x"":227,""y"":548,""width"":406,""height"":457}","{}"
115.png,2596097,"{}",8,2,"{""name"":""rect"",""x"":44,""y"":620,""width"":377,""height"":455}","{}"
115.png,2596097,"{}",8,3,"{""name"":""rect"",""x"":855,""y"":653,""width"":403,""height"":434}","{}"
115.png,2596097,"{}",8,4,"{""name"":""rect"",""x"":1467,""y"":403,""width"":496,""height"":418}","{}"
115.png,2596097,"{}",8,5,"{""name"":""rect"",""x"":1289,""y"":1227,""width"":395,""height"":418}","{}"
